tradingsymbol,exchange,instrument_token,isin,product,price,quantity,used_quantity,t1_quantity,realised_quantity,authorised_quantity,authorised_date,authorisation,opening_quantity,short_quantity,collateral_quantity,collateral_type,discrepancy,average_price,last_price,close_price,pnl,day_change,day_change_percentage,source,key,ltp,open,high,low,close,qty,Invested,value,value_H,PnL,PnL_H,PnL%,PnL%_H,Yvalue,dPnL,dPnL%
INDIGO,NSE,2865921.0,INE646L01027,CNC,0.0,4.0,0.0,0.0,4.0,0.0,2023-11-11 00:00:00,{},4.0,0.0,0.0,,False,2594.6,2501.75,2580.4,-371.2000000000007,-78.65000000000009,-3.0479770578204963,holdings,NSE:INDIGO,2501.8,2572.0,2573.8,2493.0,2580.4,4,10378.2,10007.0,10295.0,-371.2,-83.20000000000073,-3.6,-0.8,10321.6,-314.6,-3.0
INDORAMA,NSE,2814209.0,INE156A01020,CNC,0.0,441.0,0.0,0.0,441.0,0.0,2023-11-11 00:00:00,{},441.0,0.0,0.0,,False,56.8,51.4,51.25,-2359.350000000001,0.14999999999999858,0.2926829268292655,holdings,NSE:INDORAMA,51.4,51.8,52.4,50.9,51.2,441,25026.8,22667.4,23108.399999999998,-2359.4,-1918.3500000000022,-9.4,-7.7,22601.2,66.1,0.3
IRB,BSE,136434436.0,INE821I01022,CNC,0.0,279.0,0.0,0.0,279.0,0.0,2023-11-11 00:00:00,{},279.0,0.0,0.0,,False,35.8,34.91,35.41,-248.31000000000017,-0.5,-1.4120304998587971,holdings,BSE:IRB,34.9,35.1,35.2,34.7,35.4,279,9988.2,9739.9,9834.75,-248.3,-153.4499999999989,-2.5,-1.5,9879.4,-139.5,-1.4
ISEC,NSE,637185.0,INE763G01038,CNC,0.0,15.0,0.0,0.0,15.0,0.0,2023-11-11 00:00:00,{},15.0,0.0,0.0,,False,661.7,656.35,660.0,-80.25000000000034,-3.6499999999999773,-0.5530303030302995,holdings,NSE:ISEC,656.4,663.4,663.4,650.4,660.0,15,9925.5,9845.2,9950.25,-80.2,24.75,-0.8,0.2,9900.0,-54.8,-0.6
JAYNECOIND,BSE,133704964.0,INE854B01010,CNC,0.0,254.0,0.0,0.0,254.0,0.0,2023-11-11 00:00:00,{},254.0,0.0,0.0,,False,39.6,37.5,37.46,-533.4000000000003,0.03999999999999915,0.10678056593699718,holdings,BSE:JAYNECOIND,37.5,36.9,38.0,36.9,37.5,254,10058.4,9525.0,9652.0,-533.4,-406.39999999999964,-5.3,-4.0,9514.8,10.2,0.1
JKCEMENT,NSE,3397121.0,INE823G01014,CNC,0.0,0.0,0.0,3.0,0.0,0.0,2023-11-11 00:00:00,{},3.0,0.0,0.0,,False,3460.0,3463.5,3390.4,10.5,73.09999999999991,2.156087777253419,holdings,NSE:JKCEMENT,3463.5,3390.4,3471.0,3369.1,3390.4,3,10380.0,10390.5,10413.0,10.5,33.0,0.1,0.3,10171.2,219.3,2.2
KAYNES,BSE,139177988.0,INE918Z01012,CNC,0.0,4.0,0.0,0.0,4.0,0.0,2023-11-11 00:00:00,{},4.0,0.0,0.0,,False,2493.0,2451.15,2484.55,-167.39999999999964,-33.40000000000009,-1.3443078223420775,holdings,BSE:KAYNES,2451.2,2484.9,2497.9,2426.0,2484.6,4,9972.0,9804.6,9991.6,-167.4,19.600000000000364,-1.7,0.2,9938.2,-133.6,-1.3
KKCL,NSE,3425537.0,INE401H01017,CNC,0.0,12.0,0.0,0.0,12.0,0.0,2023-11-11 00:00:00,{},12.0,0.0,0.0,,False,782.0,763.8,766.8,-219.0,-3.0,-0.39123630672926446,holdings,NSE:KKCL,763.8,760.0,775.4,758.0,766.8,12,9384.6,9165.6,9304.8,-219.0,-79.79999999999927,-2.3,-0.9,9201.6,-36.0,-0.4
KRISHANA,NSE,3288833.0,INE506W01012,CNC,0.0,19.0,0.0,0.0,19.0,0.0,2023-11-11 00:00:00,{},19.0,0.0,0.0,,False,0.0,238.25,251.05,4526.75,-12.800000000000011,-5.098585939055969,holdings,NSE:KRISHANA,238.2,250.6,262.0,233.9,251.0,19,0.0,4526.8,4978.0,4526.8,4978.0,inf,inf,4770.0,-243.2,-5.1
KSB,BSE,128063748.0,INE999A01015,CNC,0.0,3.0,0.0,0.0,3.0,0.0,2023-11-11 00:00:00,{},3.0,0.0,0.0,,False,3162.8,3028.2,3090.05,-403.65000000000055,-61.850000000000364,-2.0015857348586708,holdings,BSE:KSB,3028.2,3070.0,3127.0,3011.4,3090.0,3,9488.2,9084.6,9381.0,-403.7,-107.25,-4.3,-1.1,9270.2,-185.6,-2.0
L&TFH,NSE,6386689.0,INE498L01015,CNC,0.0,70.0,0.0,0.0,70.0,0.0,2023-11-11 00:00:00,{},70.0,0.0,0.0,,False,142.4,140.8,140.95,-111.9999999999996,-0.14999999999997726,-0.10642071656614209,holdings,NSE:L&TFH,140.8,141.0,142.1,138.5,141.0,70,9968.0,9856.0,9947.0,-112.0,-21.0,-1.1,-0.2,9866.5,-10.5,-0.1
LINDEINDIA,NSE,416513.0,INE473A01011,CNC,0.0,2.0,0.0,0.0,2.0,0.0,2023-11-11 00:00:00,{},2.0,0.0,0.0,,False,6213.6,6043.15,6098.25,-341.0,-55.100000000000364,-0.9035379002172814,holdings,NSE:LINDEINDIA,6043.2,6077.0,6094.0,5986.2,6098.2,2,12427.3,12086.3,12187.9,-341.0,-239.39999999999964,-2.7,-1.9,12196.5,-110.2,-0.9
MADRASFERT,BSE,151074308.0,INE414A01015,CNC,0.0,309.0,0.0,0.0,309.0,0.0,2023-11-11 00:00:00,{},309.0,0.0,0.0,,False,80.9,76.62,76.92,-1328.7197759999974,-0.29999999999999716,-0.39001560062402124,holdings,BSE:MADRASFERT,76.6,76.4,77.8,76.1,76.9,309,25004.3,23675.6,24024.75,-1328.7,-979.5497759999998,-5.3,-3.9,23768.3,-92.7,-0.4
MAHESHWARI,NSE,2451457.0,INE263W01010,CNC,0.0,261.0,0.0,0.0,261.0,0.0,2023-11-11 00:00:00,{},261.0,0.0,0.0,,False,95.6,85.15,85.15,-2740.5,0.0,0.0,holdings,NSE:MAHESHWARI,85.2,86.0,88.2,84.3,85.2,261,24964.6,22224.2,23020.2,-2740.5,-1944.4500000000007,-11.0,-7.8,22224.2,0.0,0.0
MANGLMCEM,BSE,128552196.0,INE347A01017,CNC,0.0,60.0,0.0,0.0,60.0,0.0,2023-11-11 00:00:00,{},60.0,0.0,0.0,,False,415.6,412.45,411.05,-189.00000000000205,1.3999999999999773,0.3405911689575422,holdings,BSE:MANGLMCEM,412.4,408.7,420.0,408.7,411.0,60,24936.0,24747.0,25197.0,-189.0,261.0,-0.8,1.0,24663.0,84.0,0.3
MAPMYINDIA,BSE,139116804.0,INE0BV301023,CNC,0.0,5.0,0.0,0.0,5.0,0.0,2023-11-11 00:00:00,{},5.0,0.0,0.0,,False,2077.5,2048.0,2063.3,-147.5500000000011,-15.300000000000182,-0.7415305578442388,holdings,BSE:MAPMYINDIA,2048.0,2082.8,2099.5,2048.0,2063.3,5,10387.6,10240.0,10497.5,-147.6,109.94999999999891,-1.4,1.1,10316.5,-76.5,-0.7
MURUDCERA-BE,NSE,2310145.0,INE692B01014,CNC,0.0,358.0,0.0,0.0,358.0,0.0,2023-11-11 00:00:00,{},358.0,0.0,0.0,,False,69.8,62.25,64.1,-2685.0,-1.8499999999999943,-2.886115444617776,holdings,NSE:MURUDCERA-BE,62.2,63.1,65.0,62.0,64.1,358,24970.5,22285.5,23270.0,-2685.0,-1700.5,-10.8,-6.8,22947.8,-662.3,-2.9
NMDC,NSE,3924993.0,INE584A01023,CNC,0.0,0.0,0.0,59.0,0.0,0.0,2023-11-11 00:00:00,{},59.0,0.0,0.0,,False,169.1,168.7,163.05,-23.600000000000335,5.649999999999977,3.4651947255442974,holdings,NSE:NMDC,168.7,162.4,169.6,161.4,163.0,59,9976.9,9953.3,10006.4,-23.6,29.5,-0.2,0.3,9620.0,333.3,3.5
NTPC,BSE,136334084.0,INE733E01010,CNC,0.0,0.0,0.0,42.0,0.0,0.0,2023-11-11 00:00:00,{},42.0,0.0,0.0,,False,240.1,242.75,237.7,111.30000000000024,5.050000000000011,2.124526714345819,holdings,BSE:NTPC,242.8,237.9,243.2,236.0,237.7,42,10084.2,10195.5,10216.5,111.3,132.3000000000011,1.1,1.3,9983.4,212.1,2.1
OBCL,NSE,2252033.0,INE426Z01016,CNC,0.0,396.0,0.0,0.0,396.0,0.0,2023-11-11 00:00:00,{},396.0,0.0,0.0,,False,67.0,58.55,58.8,-3362.6997360000037,-0.25,-0.4251700680272109,holdings,NSE:OBCL,58.6,58.3,60.4,57.5,58.8,396,26548.5,23185.8,23918.399999999998,-3362.7,-2630.0997360000038,-12.7,-9.9,23284.8,-99.0,-0.4
OBEROIRLTY,NSE,5181953.0,INE093I01010,CNC,0.0,8.0,0.0,0.0,8.0,0.0,2023-11-11 00:00:00,{},8.0,0.0,0.0,,False,1262.4,1256.65,1256.3,-46.0,0.3500000000001364,0.027859587678113227,holdings,NSE:OBEROIRLTY,1256.6,1252.0,1264.6,1240.7,1256.3,8,10099.2,10053.2,10117.2,-46.0,18.0,-0.5,0.2,10050.4,2.8,0.0
OIL,NSE,4464129.0,INE274J01014,CNC,0.0,32.0,0.0,0.0,32.0,0.0,2023-11-11 00:00:00,{},32.0,0.0,0.0,,False,315.0,305.75,302.3,-296.0,3.4499999999999886,1.141250413496523,holdings,NSE:OIL,305.8,302.2,307.0,300.8,302.3,32,10080.0,9784.0,9824.0,-296.0,-256.0,-2.9,-2.5,9673.6,110.4,1.1
OLECTRA,NSE,2723073.0,INE260D01016,CNC,0.0,8.0,0.0,0.0,8.0,0.0,2023-11-11 00:00:00,{},8.0,0.0,0.0,,False,1187.5,1162.55,1171.65,-199.60000000000036,-9.100000000000136,-0.776682456364967,holdings,NSE:OLECTRA,1162.6,1171.9,1175.5,1157.2,1171.6,8,9500.0,9300.4,9404.0,-199.6,-96.0,-2.1,-1.0,9373.2,-72.8,-0.8
PGHH,NSE,648961.0,INE179A01014,CNC,0.0,0.0,0.0,1.0,0.0,0.0,2023-11-11 00:00:00,{},1.0,0.0,0.0,,False,17815.9,17810.7,17223.95,-5.200000000000728,586.75,3.406593725597206,holdings,NSE:PGHH,17810.7,17320.2,17965.6,17250.0,17224.0,1,17815.9,17810.7,17965.65,-5.2,149.75,-0.0,0.8,17224.0,586.8,3.4
PGHL,BSE,128032260.0,INE199A01012,CNC,0.0,2.0,0.0,0.0,2.0,0.0,2023-11-11 00:00:00,{},2.0,0.0,0.0,,False,5176.6,5209.2,5151.15,65.10000000000036,58.05000000000018,1.126932820826421,holdings,BSE:PGHL,5209.2,5195.1,5224.5,5149.1,5151.2,2,10353.3,10418.4,10449.0,65.1,95.70000000000073,0.6,0.9,10302.3,116.1,1.1
PNB,NSE,2730497.0,INE160A01022,CNC,0.0,132.0,0.0,0.0,132.0,0.0,2023-11-11 00:00:00,{},132.0,0.0,0.0,,False,75.6,76.25,76.0,79.19999999999925,0.25,0.3289473684210526,holdings,NSE:PNB,76.2,75.9,76.4,75.5,76.0,132,9985.8,10065.0,10084.800000000001,79.2,99.0,0.8,1.0,10032.0,33.0,0.3
